SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532670,RENUKA SUGAR,B ,Q,9.86,10.18,9.70,10.02,9.97,9.66,332,228485,2276088.00,
532673,KM SUGARMILL,B ,Q,11.65,11.94,11.49,11.85,11.91,11.64,89,52212,616814.00,
532674,BANNARI AMMA,B ,Q,62.00,64.00,59.20,63.90,64.00,62.00,59,3915,244742.00,
532678,BOMBAY RAYON,B ,Q,7.11,7.16,6.86,7.01,7.01,6.88,72,11140,77695.00,
532679,SORILINFRA  ,B ,Q,137.00,143.05,136.40,137.60,136.40,136.50,137,3588,500580.00,
532683,AIAENGINEER ,A ,Q,1911.30,1933.45,1849.00,1899.55,1869.80,1904.25,709,3801,7175259.00,
532684,EVEREST KANT,B ,Q,70.30,74.25,70.30,72.85,72.90,70.70,415,46652,3369056.00,
532686,KERNEX MICRO,T ,Q,50.75,53.40,50.75,52.00,53.35,53.40,40,6617,337906.00,
532687,REPRO INDIA ,B ,Q,350.00,350.00,332.95,336.95,341.35,346.10,86,825,280208.00,
532689,PVR LTD     ,A ,Q,1075.85,1097.00,1044.80,1085.65,1085.65,1085.85,3317,88734,95315430.00,
532690,RAMSARUP IND,Z ,Q,0.71,0.71,0.71,0.71,0.71,0.71,1,251,178.00,
532692,RADHA MADHAV,T ,Q,2.27,2.35,2.27,2.35,2.35,2.37,9,3203,7480.00,
532693,PUNJ LLOYD  ,Z ,Q,1.34,1.34,1.28,1.31,1.34,1.28,68,241987,321958.00,
532694,BARTRONICSIN,Z ,Q,2.33,2.40,2.30,2.30,2.30,2.33,9,2714,6354.00,
532695,CELEBRITYFAS,T ,Q,5.35,5.55,5.35,5.55,5.55,5.45,14,748,4003.00,
532696,EDUCOMP SOLN,Z ,Q,2.95,2.95,2.72,2.87,2.87,2.81,12,6877,18922.00,
532698,NITINSPINNER,B ,Q,80.05,86.00,80.05,84.85,85.00,81.50,191,5904,495053.00,
532699,ROYALORCH   ,B ,Q,60.45,62.75,59.70,59.90,59.85,59.95,199,8173,494566.00,
532700,ENT NETWORK ,B ,Q,144.85,145.55,141.50,142.40,145.35,141.95,52,428,61007.00,
532701,CELLA       ,Z ,Q,5.35,5.50,5.30,5.50,5.50,5.35,3,3,16.00,
532702,GUJ PETRONET,A ,Q,258.95,261.80,252.40,256.00,255.00,255.10,898,43074,11043984.00,
532705,JAGRAN PRAK ,A ,Q,58.70,59.50,58.50,58.75,58.70,58.75,396,1116422,65853160.00,
532706,INOX LEISURE,A ,Q,256.20,265.90,256.20,260.40,260.40,263.95,1820,37973,9921972.00,
532707,DYNEMIC PRO ,B ,Q,464.20,492.25,458.95,473.80,473.80,458.95,651,6455,3062962.00,
532710,SADBHAV ENGG,A ,Q,56.05,62.30,56.05,61.85,61.85,58.30,666,61036,3710463.00,
532712,REL COM LTD ,B ,Q,1.63,1.68,1.63,1.66,1.66,1.62,1957,3653220,6058586.00,
532713,SAKUMA EXPO ,B ,Q,4.87,5.15,4.76,4.93,4.94,4.87,101,27807,135889.00,
532714,KEC INTERN  ,A ,Q,395.10,413.90,394.00,405.85,403.15,398.80,925,14480,5825732.00,
532716,GILLA ARBUT ,B ,Q,39.80,39.80,39.40,39.40,39.40,41.45,6,210,8309.00,
532717,INDOTECHTR  ,B ,Q,92.00,92.00,83.40,87.75,87.75,84.30,22,440,37974.00,
532719,BL KASHYAP  ,T ,Q,17.50,18.00,17.45,17.45,17.45,18.35,75,103210,1809125.00,
532720,M&M FINANSER,A ,Q,172.00,178.90,171.10,176.65,176.65,171.00,6348,809726,142334537.00,
532721,VISA STEEL  ,B ,Q,6.83,7.21,6.69,6.69,6.69,7.04,32,7872,53087.00,
532722,NITCO TILES ,B ,Q,18.35,18.60,18.15,18.25,18.15,17.80,25,1588,29165.00,
532725,SOLAR IND   ,A ,Q,1271.15,1418.00,1255.00,1276.85,1276.85,1259.00,901,5052,6650056.00,
532726,GALLAN METAL,B ,Q,48.65,49.20,46.10,48.30,48.40,47.75,68,7440,354515.00,
